target_d,method,variable,station_id,zone,mae,rmse,smape,hit10,total_relative_error,share_l1,selection_reason,baseline_day_activity,model_minus_base1_mae,stock_mae,risk_diff
7,base1,combined,S004,Educational (文教科研区),1.5,2.6060826285186485,0.3643419017716503,0.6041666666666666,0.06181015452538632,0.17911543739358307,largest_model_deterioration_vs_base1,481.0,0.0625,7.458333333333333,9
7,base2,combined,S004,Educational (文教科研区),1.8333333333333333,2.362907813126304,0.4784974513469684,0.3333333333333333,0.09271523178807947,0.15835172921265633,largest_model_deterioration_vs_base1,481.0,0.0625,3.5833333333333335,7
7,model,combined,S004,Educational (文教科研区),1.5625,2.384848003542364,0.3675937336713082,0.5625,0.0728476821192053,0.1575232333142561,largest_model_deterioration_vs_base1,481.0,0.0625,6.791666666666667,7
7,base1,combined,S005,Educational (文教科研区),1.375,2.0816659994661326,0.3091612965002722,0.5625,0.047619047619047616,0.14303751803751802,highest_activity_baseline_day,528.0,-0.04166666666666674,7.958333333333333,5
7,base2,combined,S005,Educational (文教科研区),1.7291666666666667,2.212653007891959,0.5285751040222818,0.4583333333333333,0.017857142857142856,0.16060606060606059,highest_activity_baseline_day,528.0,-0.04166666666666674,3.0,0
7,model,combined,S005,Educational (文教科研区),1.3333333333333333,1.9790570145063195,0.3037431152774932,0.5833333333333334,0.031746031746031744,0.13528693528693525,highest_activity_baseline_day,528.0,-0.04166666666666674,6.25,0
7,base1,combined,S008,Educational (文教科研区),1.8333333333333333,2.6299556396765835,0.40543137432509874,0.4375,0.016736401673640166,0.1935012908394908,closest_to_base1,470.0,0.0,6.166666666666667,8
7,base2,combined,S008,Educational (文教科研区),1.8958333333333333,2.2958295523259853,0.43036541204458595,0.3125,0.03556485355648536,0.1811081526562698,closest_to_base1,470.0,0.0,9.291666666666666,9
7,model,combined,S008,Educational (文教科研区),1.8333333333333333,2.5,0.4038477831360221,0.4791666666666667,0.0041841004184100415,0.18670229598115395,closest_to_base1,470.0,0.0,5.833333333333333,6
7,base1,combined,S013,Commercial/Transit (商业与交通枢纽区),1.5625,2.0463381929681126,0.4502112243554525,0.2916666666666667,0.014044943820224719,0.21407535452479276,median_activity_baseline_day,351.0,-0.125,6.666666666666667,8
7,base2,combined,S013,Commercial/Transit (商业与交通枢纽区),1.3958333333333333,1.8540496217739157,0.4935266783180114,0.2916666666666667,0.08707865168539326,0.18205704407951598,median_activity_baseline_day,351.0,-0.125,8.791666666666666,6
7,model,combined,S013,Commercial/Transit (商业与交通枢纽区),1.4375,1.8427786989579984,0.43551885521216044,0.375,0.025280898876404494,0.19097885568111905,median_activity_baseline_day,351.0,-0.125,7.958333333333333,8
7,base1,combined,S022,Recreational/Public (休闲与公共设施区),2.1666666666666665,2.798809270624444,0.6626415638492466,0.20833333333333334,0.12274368231046931,0.38995112240198476,largest_model_improvement_vs_base1,243.0,-0.39583333333333326,6.708333333333333,4
7,base2,combined,S022,Recreational/Public (休闲与公共设施区),1.2708333333333333,1.7380544678845176,0.514308698547829,0.3333333333333333,0.039711191335740074,0.22380164460489366,largest_model_improvement_vs_base1,243.0,-0.39583333333333326,5.666666666666667,0
7,model,combined,S022,Recreational/Public (休闲与公共设施区),1.7708333333333333,2.286737122335374,0.5787703120503632,0.25,0.07581227436823104,0.31752030685920574,largest_model_improvement_vs_base1,243.0,-0.39583333333333326,7.291666666666667,6
7,base1,combined,S026,Recreational/Public (休闲与公共设施区),1.9791666666666667,2.6496855159307744,0.5204836193548502,0.2916666666666667,0.09328358208955224,0.3819482832749831,lowest_nonzero_activity_baseline_day,243.0,-0.35416666666666674,5.583333333333333,0
7,base2,combined,S026,Recreational/Public (休闲与公共设施区),1.4166666666666667,1.7677669529663689,0.5725319249737914,0.25,0.06716417910447761,0.24950422711616738,lowest_nonzero_activity_baseline_day,243.0,-0.35416666666666674,5.791666666666667,0
7,model,combined,S026,Recreational/Public (休闲与公共设施区),1.625,2.131118642090737,0.46034368991151525,0.2708333333333333,0.04477611940298507,0.30223880597014924,lowest_nonzero_activity_baseline_day,243.0,-0.35416666666666674,5.291666666666667,0
